1n;1;"C4"
2.2n;2;"C15 C22"
10n;4;"C5 C6 C9 C10"
100n;5;"C3 C12 C16 C19 C23"
100n;3;"C7 C8 C13"
4u7;5;"C1 C2 C11 C18 C24"
4u7;2;"C14 C21"
54u;2;"C17 C20"
1N5819;2;"D3 D4"
1N5819;2;"D1 D2"
DIODESCH;1;"D5"
servo;1;"K1"
1-wire;1;"K2"
47uH;2;"L1 L2"
batt;1;"P1"
speaker;1;"P2"
dist;1;"P3"
btn-1;1;"P4"
btn-2;1;"P5"
btn-3;1;"P6"
led;4;"P7 P10 P13 P14"
p3;1;"P9"
btn-4;1;"P12"
btn-5;1;"P15"
p1;1;"P8"
p2;1;"P11"
bc857;8;"Q1 Q3 Q7 Q9 Q12 Q13 Q17 Q18"
bc847;9;"Q2 Q4 Q6 Q8 Q10 Q11 Q14 Q15 Q16"
irlml2244;1;"Q5"
0;7;"R5 R6 R14 R25 R28 R29 R33"
3;2;"R7 R8"
10;1;"R1"
100;1;"R20"
300;4;"R50 R55 R56 R60"
1k;19;"R2 R10 R12 R13 R18 R19 R24 R26 R27 R35 R36 R37 R38 R39 R40 R45 R46 R47 R49"
2k;2;"R21 R22"
4k7;1;"R51"
5k1;1;"R32"
10k;1;"R41"
10k;6;"R9 R16 R23 R30 R53 R58"
12k;1;"R31"
16k;1;"R17"
20k;1;"R34"
30k;1;"R42"
30k;11;"R3 R4 R11 R15 R43 R44 R48 R52 R54 R57 R59"
SD;1;"U3"
NCP3063;2;"U6 U7"
3310-LCD;1;"U1"
AD8607_2;2;"U2 U5"
MINI-USB-B;1;"U4"
DS18S20;1;"U8"
